taxon,aoo,eoo
"Mimosa bathyrrhena",8,8
"Mimosa bispiculata",4,4
"Mimosa blanchetii",188,98458
"Mimosa bocainae",8,8
"Mimosa bombycina",24,4181
"Mimosa borboremae",116,65198
"Mimosa brachycarpa",76,605938
"Mimosa bracteolaris",,
"Mimosa caesalpiniifolia",1484,6975754
"Mimosa callidryas",28,15205
"Mimosa capito",40,42453
"Mimosa carajarum",,
"Mimosa catharinensis",8,8
"Mimosa chaetosphaera",52,336009
"Mimosa chartostegia",56,198967
"Mimosa chrysastra",20,98
"Mimosa claussenii",776,380003
"Mimosa cordistipula",164,131872
"Mimosa coruscocaesia",76,44184
"Mimosa cryptothamnos",20,812
"Mimosa cubatanensis",36,200076
"Mimosa cyclophylla",12,302
"Mimosa dasilvae",24,8
"Mimosa decorticans",68,3363
"Mimosa dichroa",108,75581
"Mimosa discobola",60,230945
"Mimosa dominarum",20,155
"Mimosa dryandroides",88,175292
"Mimosa emaensis",4,4
"Mimosa ernestii",8,8
"Mimosa exalbescens",80,428521
"Mimosa extensa",96,61265
"Mimosa filipes",332,838405
"Mimosa foliolosa",952,1978908
"Mimosa furfuracea",208,521915
"Mimosa gardneri",188,532735
"Mimosa glazioui",8,8
"Mimosa glycyrrhizoides",24,35075
"Mimosa gracilis",944,2727113
"Mimosa hatschbachii",12,688
"Mimosa hebecarpa",172,1347341
"Mimosa heringeri",32,3701
"Mimosa humifusa",,
"Mimosa humivagans",12,35
"Mimosa hypoglauca",372,1865773
"Mimosa interrupta",100,580137
"Mimosa involucrata",24,2025
"Mimosa irrigua",260,83736
"Mimosa itatiaiensis",20,66
"Mimosa kuhnisteroides",20,527
"Mimosa lanata",112,126081
"Mimosa laniceps",12,7165
"Mimosa laticifera",340,2291976
"Mimosa lepidophora",104,383984
"Mimosa leprosa",20,5495
"Mimosa leptantha",24,33760
"Mimosa lewisii",392,522277
"Mimosa lithoreas",12,4145
"Mimosa macedoana",44,4449
"Mimosa manidea",56,2552
"Mimosa melanocarpa",160,840655
"Mimosa mensicola",36,433
"Mimosa micropteris",276,478308
"Mimosa misera",524,1030131
"Mimosa montis-carasae",16,3425
"Mimosa myuros",28,19724
"Mimosa neonitens",24,90296
"Mimosa niomarlei",20,5846
"Mimosa oblonga",168,266016
"Mimosa oligosperma",8,8
"Mimosa ophthalmocentra",1080,1396332
"Mimosa orthacantha",84,43411
"Mimosa osmarii",12,12
"Mimosa pabstiana",48,52655
"Mimosa papposa",48,107466
"Mimosa paraibana",312,699187
"Mimosa paucifolia",32,98234
"Mimosa perplicata",12,16
"Mimosa piptoptera",148,535941
"Mimosa pithecolobioides",272,849670
"Mimosa polycephala",184,1097744
"Mimosa polydidyma",116,61460
"Mimosa pseudosepiaria",48,55377
"Mimosa pseudotrachycarpa",64,1448053
"Mimosa psittacina",12,971
"Mimosa pteridifolia",548,2443325
"Mimosa pycnocoma",8,8
"Mimosa pyrenea",84,2202203
"Mimosa radula",676,1508208
"Mimosa ramentacea",48,30426
"Mimosa ramosissima",380,875205
"Mimosa regina",24,127
"Mimosa rheiptera",44,1064
"Mimosa robsonii",8,8
"Mimosa rufipila",84,145417
"Mimosa sanguinolenta",88,1849179
"Mimosa scabrella",1048,1069292
"Mimosa sericantha",308,679727
"Mimosa setosissima",104,3106509
"Mimosa setuligera",68,96873
"Mimosa sevilhae",8,8
"Mimosa sobralii",56,3360
"Mimosa sparsiformis",64,36082
"Mimosa splendida",20,5111
"Mimosa strobiliflora",4,4
"Mimosa suburbana",16,20
"Mimosa supravisa",44,945400
"Mimosa thomista",12,2837
"Mimosa ulbrichiana",136,299270
"Mimosa ulei",56,762
"Mimosa uniceps",8,8
"Mimosa urandiensis",4,4
"Mimosa urticaria",8,8
"Mimosa verecunda",56,59610
"Mimosa verrucosa",644,1428463
"Mimosa virgula",84,11418
"Moldenhawera acuminata",24,4836
"Moldenhawera blanchetiana",168,31348
"Moldenhawera floribunda",56,40909
"Moldenhawera intermedia",8,8
"Moldenhawera longipedicellata",40,668
"Moldenhawera luschnathiana",44,7498
"Moldenhawera nutans",36,1123
"Moldenhawera papillanthera",80,8008
"Moldenhawera polysperma",108,19972
"Mora paraensis",60,708551
"Muellera denudata",28,298593
"Muellera fernandesii",12,12
"Muellera filipes",36,3539
"Muellera graciliflora",8,8
"Muellera grazielae",40,4603
"Muellera laticifera",36,149452
"Muellera leptobotrys",48,167778
"Muellera longiunguiculata",28,403045
"Muellera montana",128,506424
"Muellera nitens",16,53976
"Muellera obtusa",236,806971
"Muellera torrensis",28,348
"Muellera tozziana",20,211189
"Muellera variabilis",4,4
"Muellera virgilioides",156,16434
"Myrocarpus fastigiatus",212,2487700
"Myrocarpus frondosus",884,5807854
"Myrocarpus leprosus",8,8
"Myroxylon peruiferum",820,4916075
"Mysanthus uleanus",160,3485485
"Naiadendron duckeanum",64,407666
"Neptunia pubescens",16,7475
"Ormosia altimontana",40,1421
"Ormosia arborea",888,5509144
"Ormosia bahiensis",100,424195
"Ormosia excelsa",212,3065732
"Ormosia fastigiata",500,5808843
"Ormosia friburgensis",68,98288
"Ormosia froesii",8,8
"Ormosia lewisii",28,3339
"Ormosia limae",24,166
"Ormosia minor",44,83227
"Ormosia nitida",76,144820
"Ormosia paraensis",336,5901559
"Ormosia ruddiana",12,13920
"Ormosia santaremnensis",76,1002064
"Ormosia solimoesensis",24,672141
"Ormosia timboensis",16,1
"Ormosia vicosana",44,44330
"Paloue emarginata",24,75603
"Paloue induta",24,1005
"Panurea bowdichioides",4,4
"Paramachaerium krukovii",12,72
"Parapiptadenia blanchetii",148,210024
"Parapiptadenia ilheusana",12,44
"Parapiptadenia pterosperma",348,2581364
"Parapiptadenia zehntneri",892,1100630
"Parasenegalia incerta",4,4
"Parasenegalia miersii",40,3278
"Parasenegalia santosii",24,60711
"Parkia bahiae",64,3073
"Parkia barnebyana",24,31825
"Parkia cachimboensis",100,114721
"Parkia lutea",12,2463
"Parkia paraensis",40,43707
"Parkia platycephala",720,2028984
"Paubrasilia echinata",692,430339
"Peltogyne altissima",8,8
"Peltogyne angustiflora",88,113034
"Peltogyne campestris",68,1016266
"Peltogyne catingae",60,1968588
"Peltogyne chrysopis",32,15028
"Peltogyne confertiflora",532,3622116
"Peltogyne discolor",64,14952
"Peltogyne excelsa",16,23496
"Peltogyne gracilipes",36,2157
"Peltogyne lecointei",8,8
"Peltogyne maranhensis",60,1033777
"Peltogyne mattosiana",16,598
"Peltogyne micrantha",,
"Peltogyne paniculata",172,1898556
"Peltogyne paradoxa",52,38709
"Peltogyne recifensis",44,114738
"Petaladenium urceoliferum",52,19599
"Piptadenia gonoacantha",1876,2547023
"Piptadenia laxipinna",8,8
"Plathymenia reticulata",2520,6812391
"Platycyamus regnellii",480,989418
"Platymiscium filipes",104,941248
"Platymiscium speciosum",52,19656
"Poecilanthe falcata",424,1336583
"Poecilanthe fluminensis",24,2594
"Poecilanthe grandiflora",280,1644919
"Poecilanthe itapuana",104,5745
"Poecilanthe parviflora",284,2322272
"Poecilanthe subcordata",128,1050788
"Poiretia angustifolia",168,3008951
